customer_id,R_days,F_count,M_amount,R_score,F_score,M_score,RFM_score,segment
81,90,24,72,1,3,4,8,Potential Loyalists
82,90,36,96,1,4,5,10,Loyal Customers
83,90,21,28,1,3,1,5,At Risk
84,7,34,40,5,4,2,11,Loyal Customers
85,90,42,32,1,5,1,7,Potential Loyalists
86,14,2,95,3,1,5,9,Potential Loyalists
87,14,47,41,3,5,2,10,Loyal Customers
88,14,44,53,3,5,3,11,Loyal Customers
89,30,35,47,3,4,2,9,Potential Loyalists
90,90,15,83,1,2,4,7,Potential Loyalists
91,30,29,48,3,3,2,8,Potential Loyalists
92,90,18,99,1,2,5,8,Potential Loyalists
93,90,13,87,1,2,5,8,Potential Loyalists
94,7,46,62,5,5,3,13,Champions
95,7,28,76,5,3,4,12,Loyal Customers
96,30,48,100,3,5,5,13,Champions
97,90,43,73,1,5,4,10,Loyal Customers
98,365,37,92,1,4,5,10,Loyal Customers
99,365,20,67,1,2,3,6,At Risk
100,90,33,40,1,4,2,7,Potential Loyalists
101,14,31,98,3,4,5,12,Loyal Customers
102,14,50,85,3,5,5,13,Champions
103,90,35,67,1,4,3,8,Potential Loyalists
104,14,22,89,3,3,5,11,Loyal Customers
105,30,1,24,3,1,1,5,At Risk
106,365,4,96,1,1,5,7,Potential Loyalists
107,30,31,35,3,4,1,8,Potential Loyalists
108,14,46,67,3,5,3,11,Loyal Customers
109,14,32,79,3,4,4,11,Loyal Customers
110,14,43,85,3,5,5,13,Champions
111,14,26,26,3,3,1,7,Potential Loyalists
112,365,9,75,1,1,4,6,At Risk
113,14,28,65,3,3,3,9,Potential Loyalists
114,90,20,54,1,2,3,6,At Risk
115,7,9,95,5,1,5,11,Loyal Customers
116,90,48,94,1,5,5,11,Loyal Customers
117,365,12,86,1,2,5,8,Potential Loyalists
118,14,29,32,3,3,1,7,Potential Loyalists
119,14,27,45,3,3,2,8,Potential Loyalists
120,365,44,76,1,5,4,10,Loyal Customers
121,365,32,84,1,4,4,9,Potential Loyalists
122,14,11,72,3,2,4,9,Potential Loyalists
123,14,44,40,3,5,2,10,Loyal Customers
124,7,46,89,5,5,5,15,Champions
125,365,50,86,1,5,5,11,Loyal Customers
126,90,45,54,1,5,3,9,Potential Loyalists
127,90,48,36,1,5,2,8,Potential Loyalists
128,7,26,89,5,3,5,13,Champions
129,14,21,32,3,3,1,7,Potential Loyalists
130,14,49,67,3,5,3,11,Loyal Customers
131,14,13,39,3,2,2,7,Potential Loyalists
132,7,46,29,5,5,1,11,Loyal Customers
133,7,42,58,5,5,3,13,Champions
134,365,25,65,1,3,3,7,Potential Loyalists
135,30,25,94,3,3,5,11,Loyal Customers
136,90,12,81,1,2,4,7,Potential Loyalists
137,90,4,86,1,1,5,7,Potential Loyalists
138,7,38,43,5,4,2,11,Loyal Customers
139,7,42,29,5,5,1,11,Loyal Customers
140,365,30,95,1,3,5,9,Potential Loyalists
141,7,50,28,5,5,1,11,Loyal Customers
142,7,45,46,5,5,2,12,Loyal Customers
143,14,33,58,3,4,3,10,Loyal Customers
144,90,25,48,1,3,2,6,At Risk
145,30,25,43,3,3,2,8,Potential Loyalists
146,90,44,95,1,5,5,11,Loyal Customers
147,14,21,30,3,3,1,7,Potential Loyalists
148,14,31,64,3,4,3,10,Loyal Customers
149,365,47,90,1,5,5,11,Loyal Customers
150,30,14,76,3,2,4,9,Potential Loyalists
151,90,17,96,1,2,5,8,Potential Loyalists
152,365,3,47,1,1,2,4,Low Value / Churn Risk
153,365,42,85,1,5,5,11,Loyal Customers
154,365,22,55,1,3,3,7,Potential Loyalists
155,90,21,98,1,3,5,9,Potential Loyalists
156,90,21,77,1,3,4,8,Potential Loyalists
157,365,40,26,1,4,1,6,At Risk
158,14,1,68,3,1,3,7,Potential Loyalists
159,30,50,73,3,5,4,12,Loyal Customers
160,90,39,27,1,4,1,6,At Risk
161,30,34,23,3,4,1,8,Potential Loyalists
162,14,29,49,3,3,2,8,Potential Loyalists
163,14,31,74,3,4,4,11,Loyal Customers
164,7,8,67,5,1,3,9,Potential Loyalists
165,14,5,65,3,1,3,7,Potential Loyalists
166,30,7,60,3,1,3,7,Potential Loyalists
167,30,30,31,3,3,1,7,Potential Loyalists
168,90,14,27,1,2,1,4,Low Value / Churn Risk
169,14,5,80,3,1,4,8,Potential Loyalists
170,90,3,30,1,1,1,3,Low Value / Churn Risk
171,14,46,25,3,5,1,9,Potential Loyalists
172,7,4,35,5,1,1,7,Potential Loyalists
173,14,42,67,3,5,3,11,Loyal Customers
174,365,30,46,1,3,2,6,At Risk
175,365,37,35,1,4,1,6,At Risk
176,365,2,86,1,1,5,7,Potential Loyalists
177,90,30,81,1,3,4,8,Potential Loyalists
178,30,47,42,3,5,2,10,Loyal Customers
179,90,21,43,1,3,2,6,At Risk
180,14,9,31,3,1,1,5,At Risk
181,14,12,81,3,2,4,9,Potential Loyalists
182,7,4,61,5,1,3,9,Potential Loyalists
183,365,10,96,1,1,5,7,Potential Loyalists
184,7,26,29,5,3,1,9,Potential Loyalists
185,14,40,33,3,4,1,8,Potential Loyalists
186,14,34,32,3,4,1,8,Potential Loyalists
187,365,31,56,1,4,3,8,Potential Loyalists
188,14,1,94,3,1,5,9,Potential Loyalists
189,14,5,53,3,1,3,7,Potential Loyalists
190,7,4,82,5,1,4,10,Loyal Customers
191,90,48,70,1,5,4,10,Loyal Customers
192,90,29,76,1,3,4,8,Potential Loyalists
193,14,12,29,3,2,1,6,At Risk
194,365,29,100,1,3,5,9,Potential Loyalists
195,90,15,94,1,2,5,8,Potential Loyalists
196,30,34,25,3,4,1,8,Potential Loyalists
197,14,41,88,3,5,5,13,Champions
198,30,41,78,3,5,4,12,Loyal Customers
199,14,39,45,3,4,2,9,Potential Loyalists
200,7,32,73,5,4,4,13,Champions
201,30,29,61,3,3,3,9,Potential Loyalists
202,365,15,22,1,2,1,4,Low Value / Churn Risk
203,365,33,38,1,4,2,7,Potential Loyalists
204,7,18,38,5,2,2,9,Potential Loyalists
205,14,35,100,3,4,5,12,Loyal Customers
206,7,25,64,5,3,3,11,Loyal Customers
207,14,6,55,3,1,3,7,Potential Loyalists
208,14,17,91,3,2,5,10,Loyal Customers
209,30,17,38,3,2,2,7,Potential Loyalists
210,90,44,97,1,5,5,11,Loyal Customers
211,14,6,22,3,1,1,5,At Risk
212,14,45,92,3,5,5,13,Champions
213,365,7,84,1,1,4,6,At Risk
214,90,11,93,1,2,5,8,Potential Loyalists
215,90,41,50,1,5,2,8,Potential Loyalists
216,14,24,64,3,3,3,9,Potential Loyalists
217,7,21,61,5,3,3,11,Loyal Customers
218,365,24,48,1,3,2,6,At Risk
219,90,8,45,1,1,2,4,Low Value / Churn Risk
220,14,12,88,3,2,5,10,Loyal Customers
221,14,48,57,3,5,3,11,Loyal Customers
222,90,6,68,1,1,3,5,At Risk
223,14,14,94,3,2,5,10,Loyal Customers
224,365,34,41,1,4,2,7,Potential Loyalists
225,90,12,83,1,2,4,7,Potential Loyalists
226,365,11,22,1,2,1,4,Low Value / Churn Risk
227,30,5,74,3,1,4,8,Potential Loyalists
228,14,25,90,3,3,5,11,Loyal Customers
229,365,11,79,1,2,4,7,Potential Loyalists
230,90,27,28,1,3,1,5,At Risk
231,365,43,88,1,5,5,11,Loyal Customers
232,90,18,26,1,2,1,4,Low Value / Churn Risk
233,14,32,27,3,4,1,8,Potential Loyalists
234,90,27,83,1,3,4,8,Potential Loyalists
235,7,24,39,5,3,2,10,Loyal Customers
236,90,31,89,1,4,5,10,Loyal Customers
237,14,39,68,3,4,3,10,Loyal Customers
238,14,36,90,4,4,5,13,Champions
239,365,5,34,1,1,1,3,Low Value / Churn Risk
240,14,47,51,4,5,2,11,Loyal Customers
241,14,29,45,4,3,2,9,Potential Loyalists
242,14,43,88,4,5,5,14,Champions
243,90,40,85,1,4,5,10,Loyal Customers
244,30,4,100,3,1,5,9,Potential Loyalists
245,7,39,42,5,4,2,11,Loyal Customers
246,14,45,53,4,5,3,12,Loyal Customers
247,14,20,86,4,2,5,11,Loyal Customers
248,7,14,66,5,2,3,10,Loyal Customers
249,7,33,100,5,4,5,14,Champions
250,365,18,47,1,2,2,5,At Risk
251,7,9,25,5,1,1,7,Potential Loyalists
252,365,34,51,1,4,2,7,Potential Loyalists
253,14,33,41,4,4,2,10,Loyal Customers
254,14,15,73,4,2,4,10,Loyal Customers
255,14,4,42,4,1,2,7,Potential Loyalists
256,365,25,20,1,3,1,5,At Risk
257,90,20,30,1,2,1,4,Low Value / Churn Risk
258,90,5,53,1,1,3,5,At Risk
259,90,16,74,1,2,4,7,Potential Loyalists
260,365,13,57,1,2,3,6,At Risk
261,90,11,57,1,2,3,6,At Risk
262,365,21,77,1,3,4,8,Potential Loyalists
263,365,6,40,1,1,2,4,Low Value / Churn Risk
264,30,29,46,3,3,2,8,Potential Loyalists
265,365,15,78,1,2,4,7,Potential Loyalists
266,14,17,59,4,2,3,9,Potential Loyalists
267,7,32,75,5,4,4,13,Champions
268,365,42,54,1,5,3,9,Potential Loyalists
269,30,21,42,3,3,2,8,Potential Loyalists
270,14,9,44,4,1,2,7,Potential Loyalists
271,365,16,52,1,2,3,6,At Risk
272,14,42,69,4,5,4,13,Champions
273,14,37,26,4,4,1,9,Potential Loyalists
274,90,32,33,1,4,1,6,At Risk
275,14,28,32,4,3,1,8,Potential Loyalists
276,7,13,85,5,2,5,12,Loyal Customers
277,14,11,30,4,2,1,7,Potential Loyalists
278,14,36,29,4,4,1,9,Potential Loyalists
279,365,23,95,1,3,5,9,Potential Loyalists
280,30,37,69,3,4,4,11,Loyal Customers
281,14,21,69,4,3,4,11,Loyal Customers
282,14,22,61,4,3,3,10,Loyal Customers
283,30,9,94,3,1,5,9,Potential Loyalists
284,365,16,30,1,2,1,4,Low Value / Churn Risk
285,90,4,45,1,1,2,4,Low Value / Churn Risk
286,14,3,39,4,1,2,7,Potential Loyalists
287,365,6,51,1,1,2,4,Low Value / Churn Risk
288,14,18,37,4,2,2,8,Potential Loyalists
289,14,34,62,4,4,3,11,Loyal Customers
290,30,26,85,3,3,5,11,Loyal Customers
291,7,50,33,5,5,1,11,Loyal Customers
292,30,40,26,3,4,1,8,Potential Loyalists
293,90,24,99,1,3,5,9,Potential Loyalists
294,365,33,39,1,4,2,7,Potential Loyalists
295,90,19,20,1,2,1,4,Low Value / Churn Risk
296,90,24,42,1,3,2,6,At Risk
297,7,19,74,5,2,4,11,Loyal Customers
298,14,4,26,4,1,1,6,At Risk
299,90,11,53,1,2,3,6,At Risk
300,14,28,80,4,3,4,11,Loyal Customers
301,7,24,98,5,3,5,13,Champions
302,90,25,95,1,3,5,9,Potential Loyalists
303,90,27,44,1,3,2,6,At Risk
304,7,49,60,5,5,3,13,Champions
305,14,45,84,4,5,4,13,Champions
306,365,26,59,1,3,3,7,Potential Loyalists
307,365,4,49,1,1,2,4,Low Value / Churn Risk
308,90,3,32,1,1,1,3,Low Value / Churn Risk
309,14,45,29,4,5,1,10,Loyal Customers
310,14,21,22,4,3,1,8,Potential Loyalists
311,14,50,85,4,5,5,14,Champions
312,30,19,52,3,2,3,8,Potential Loyalists
313,365,6,89,1,1,5,7,Potential Loyalists
314,90,50,77,1,5,4,10,Loyal Customers
315,90,17,24,1,2,1,4,Low Value / Churn Risk
316,365,24,24,1,3,1,5,At Risk
317,30,46,22,3,5,1,9,Potential Loyalists
318,90,42,82,1,5,4,10,Loyal Customers
319,365,10,67,1,1,3,5,At Risk
320,90,1,74,1,1,4,6,At Risk
321,90,28,72,1,3,4,8,Potential Loyalists
322,90,48,36,1,5,2,8,Potential Loyalists
323,30,47,95,3,5,5,13,Champions
324,14,29,78,4,3,4,11,Loyal Customers
325,90,37,82,1,4,4,9,Potential Loyalists
326,365,38,70,1,4,4,9,Potential Loyalists
327,7,48,41,5,5,2,12,Loyal Customers
328,7,36,42,5,4,2,11,Loyal Customers
329,7,9,50,5,1,2,8,Potential Loyalists
330,30,34,31,3,4,1,8,Potential Loyalists
331,14,43,51,4,5,2,11,Loyal Customers
332,90,46,98,1,5,5,11,Loyal Customers
333,30,5,86,3,1,5,9,Potential Loyalists
334,14,15,64,4,2,3,9,Potential Loyalists
335,365,30,46,1,3,2,6,At Risk
336,90,44,85,1,5,5,11,Loyal Customers
337,365,16,81,1,2,4,7,Potential Loyalists
338,365,16,59,1,2,3,6,At Risk
339,7,16,79,5,2,4,11,Loyal Customers
340,90,21,33,1,3,1,5,At Risk
341,90,39,47,1,4,2,7,Potential Loyalists
342,14,40,20,4,4,1,9,Potential Loyalists
343,90,48,36,1,5,2,8,Potential Loyalists
344,30,26,39,3,3,2,8,Potential Loyalists
345,30,46,71,3,5,4,12,Loyal Customers
346,365,27,59,1,3,3,7,Potential Loyalists
347,7,5,50,5,1,2,8,Potential Loyalists
348,14,43,41,4,5,2,11,Loyal Customers
349,14,17,59,4,2,3,9,Potential Loyalists
350,14,3,87,4,1,5,10,Loyal Customers
351,14,47,68,4,5,3,12,Loyal Customers
352,14,24,90,4,3,5,12,Loyal Customers
353,90,12,71,1,2,4,7,Potential Loyalists
354,30,35,64,3,4,3,10,Loyal Customers
355,7,42,76,5,5,4,14,Champions
356,90,1,42,1,1,2,4,Low Value / Churn Risk
357,7,27,80,5,3,4,12,Loyal Customers
358,14,16,56,4,2,3,9,Potential Loyalists
359,90,36,25,1,4,1,6,At Risk
360,90,30,74,1,3,4,8,Potential Loyalists
361,14,18,30,4,2,1,7,Potential Loyalists
362,365,45,96,1,5,5,11,Loyal Customers
363,14,1,64,4,1,3,8,Potential Loyalists
364,14,42,88,4,5,5,14,Champions
365,90,7,88,1,1,5,7,Potential Loyalists
366,90,50,88,1,5,5,11,Loyal Customers
367,14,37,36,4,4,2,10,Loyal Customers
368,30,18,40,3,2,2,7,Potential Loyalists
369,30,29,39,3,3,2,8,Potential Loyalists
370,90,45,40,1,5,2,8,Potential Loyalists
371,7,13,34,5,2,1,8,Potential Loyalists
372,30,47,83,3,5,4,12,Loyal Customers
373,7,7,85,5,1,5,11,Loyal Customers
374,14,11,27,4,2,1,7,Potential Loyalists
375,30,39,78,3,4,4,11,Loyal Customers
376,90,6,32,1,1,1,3,Low Value / Churn Risk
377,14,2,51,4,1,2,7,Potential Loyalists
378,90,39,32,1,4,1,6,At Risk
379,30,23,62,3,3,3,9,Potential Loyalists
380,14,46,29,4,5,1,10,Loyal Customers
381,7,19,69,5,2,4,11,Loyal Customers
382,90,3,25,1,1,1,3,Low Value / Churn Risk
383,90,47,76,1,5,4,10,Loyal Customers
384,90,6,77,1,1,4,6,At Risk
385,365,6,33,1,1,1,3,Low Value / Churn Risk
386,14,12,93,4,2,5,11,Loyal Customers
387,90,40,39,1,4,2,7,Potential Loyalists
388,14,38,93,4,4,5,13,Champions
389,90,10,82,1,1,4,6,At Risk
390,30,28,42,3,3,2,8,Potential Loyalists
391,365,19,71,1,2,4,7,Potential Loyalists
392,14,25,86,4,3,5,12,Loyal Customers
393,365,38,82,1,4,4,9,Potential Loyalists
394,14,6,65,4,1,3,8,Potential Loyalists
395,14,7,29,4,1,1,6,At Risk
396,365,2,65,1,1,3,5,At Risk
397,365,24,88,1,3,5,9,Potential Loyalists
398,365,26,46,1,3,2,6,At Risk
399,90,25,67,1,3,3,7,Potential Loyalists
400,30,10,35,3,1,1,5,At Risk
401,14,14,66,4,2,3,9,Potential Loyalists
402,90,21,91,1,3,5,9,Potential Loyalists
403,30,26,78,3,3,4,10,Loyal Customers
404,365,12,45,1,2,2,5,At Risk
405,30,11,93,3,2,5,10,Loyal Customers
406,365,15,74,1,2,4,7,Potential Loyalists
407,30,13,55,3,2,3,8,Potential Loyalists
408,14,5,76,4,1,4,9,Potential Loyalists
409,14,36,66,4,4,3,11,Loyal Customers
410,30,32,51,3,4,2,9,Potential Loyalists
411,90,1,26,1,1,1,3,Low Value / Churn Risk
412,365,15,29,1,2,1,4,Low Value / Churn Risk
413,7,3,74,5,1,4,10,Loyal Customers
414,30,48,99,3,5,5,13,Champions
415,7,30,88,5,3,5,13,Champions
416,30,40,31,3,4,1,8,Potential Loyalists
417,14,24,55,4,3,3,10,Loyal Customers
418,90,48,81,1,5,4,10,Loyal Customers
419,14,27,73,4,3,4,11,Loyal Customers
420,90,14,91,1,2,5,8,Potential Loyalists
421,14,18,54,4,2,3,9,Potential Loyalists
422,14,48,40,4,5,2,11,Loyal Customers
423,365,32,59,1,4,3,8,Potential Loyalists
424,14,21,26,4,3,1,8,Potential Loyalists
425,14,42,23,4,5,1,10,Loyal Customers
426,90,4,87,1,1,5,7,Potential Loyalists
427,90,19,71,1,2,4,7,Potential Loyalists
428,90,6,91,1,1,5,7,Potential Loyalists
429,14,2,64,4,1,3,8,Potential Loyalists
430,14,21,94,4,3,5,12,Loyal Customers
431,365,40,40,1,4,2,7,Potential Loyalists
432,14,33,76,4,4,4,12,Loyal Customers
433,7,26,86,5,3,5,13,Champions
434,14,23,92,4,3,5,12,Loyal Customers
435,90,39,52,1,4,3,8,Potential Loyalists
436,30,42,28,3,5,1,9,Potential Loyalists
437,7,41,46,5,5,2,12,Loyal Customers
438,365,41,50,1,5,2,8,Potential Loyalists
439,14,12,23,4,2,1,7,Potential Loyalists
440,30,31,50,3,4,2,9,Potential Loyalists
441,14,34,89,4,4,5,13,Champions
442,365,32,81,1,4,4,9,Potential Loyalists
443,90,31,69,1,4,4,9,Potential Loyalists
444,365,24,67,1,3,3,7,Potential Loyalists
445,365,31,20,1,4,1,6,At Risk
446,365,18,29,1,2,1,4,Low Value / Churn Risk
447,30,15,74,3,2,4,9,Potential Loyalists
448,90,7,82,1,1,4,6,At Risk
449,14,35,23,4,4,1,9,Potential Loyalists
450,30,35,45,3,4,2,9,Potential Loyalists
451,30,19,21,3,2,1,6,At Risk
452,14,26,31,4,3,1,8,Potential Loyalists
453,14,39,45,4,4,2,10,Loyal Customers
454,7,22,56,5,3,3,11,Loyal Customers
455,14,14,97,4,2,5,11,Loyal Customers
456,14,50,100,4,5,5,14,Champions
457,90,33,96,1,4,5,10,Loyal Customers
458,90,48,99,1,5,5,11,Loyal Customers
459,30,48,91,3,5,5,13,Champions
460,14,27,30,4,3,1,8,Potential Loyalists
461,7,27,65,5,3,3,11,Loyal Customers
462,7,20,93,5,2,5,12,Loyal Customers
463,90,48,81,1,5,4,10,Loyal Customers
464,7,29,81,5,3,4,12,Loyal Customers
465,30,45,52,3,5,3,11,Loyal Customers
466,90,25,88,1,3,5,9,Potential Loyalists
467,7,25,24,5,3,1,9,Potential Loyalists
468,90,37,51,1,4,2,7,Potential Loyalists
469,90,16,38,1,2,2,5,At Risk
470,14,30,46,4,3,2,9,Potential Loyalists
471,90,6,63,1,1,3,5,At Risk
472,90,36,72,1,4,4,9,Potential Loyalists
473,90,3,39,1,1,2,4,Low Value / Churn Risk
474,90,29,42,1,3,2,6,At Risk
475,90,15,76,1,2,4,7,Potential Loyalists
476,365,18,66,1,2,3,6,At Risk
477,14,2,90,4,1,5,10,Loyal Customers
478,7,49,56,5,5,3,13,Champions
479,365,48,43,1,5,2,8,Potential Loyalists
480,30,43,84,3,5,4,12,Loyal Customers
481,14,30,88,4,3,5,12,Loyal Customers
482,14,10,88,4,1,5,10,Loyal Customers
483,365,11,42,1,2,2,5,At Risk
484,7,12,73,5,2,4,11,Loyal Customers
485,90,28,73,1,3,4,8,Potential Loyalists
486,14,36,44,4,4,2,10,Loyal Customers
487,90,37,63,1,4,3,8,Potential Loyalists
488,90,22,68,1,3,3,7,Potential Loyalists
489,7,32,29,5,4,1,10,Loyal Customers
490,365,40,85,1,4,5,10,Loyal Customers
491,30,47,42,3,5,2,10,Loyal Customers
492,14,24,69,4,3,4,11,Loyal Customers
493,7,11,62,5,2,3,10,Loyal Customers
494,14,19,48,4,2,2,8,Potential Loyalists
495,7,42,68,5,5,3,13,Champions
496,14,6,36,4,1,2,7,Potential Loyalists
497,14,31,63,4,4,3,11,Loyal Customers
498,7,31,39,5,4,2,11,Loyal Customers
499,30,27,78,3,3,4,10,Loyal Customers
500,30,24,99,3,3,5,11,Loyal Customers
501,90,35,31,1,4,1,6,At Risk
502,365,21,45,1,3,2,6,At Risk
503,14,8,30,4,1,1,6,At Risk
504,90,26,24,1,3,1,5,At Risk
505,365,26,22,1,3,1,5,At Risk
506,14,9,63,4,1,3,8,Potential Loyalists
507,365,48,40,1,5,2,8,Potential Loyalists
508,14,33,20,4,4,1,9,Potential Loyalists
509,90,31,20,1,4,1,6,At Risk
510,7,17,80,5,2,4,11,Loyal Customers
511,365,22,87,1,3,5,9,Potential Loyalists
512,365,8,46,1,1,2,4,Low Value / Churn Risk
513,30,2,49,3,1,2,6,At Risk
514,365,45,65,1,5,3,9,Potential Loyalists
515,90,47,62,1,5,3,9,Potential Loyalists
516,30,7,67,3,1,3,7,Potential Loyalists
517,14,19,41,4,2,2,8,Potential Loyalists
518,90,44,49,1,5,2,8,Potential Loyalists
519,90,16,100,1,2,5,8,Potential Loyalists
520,90,17,54,1,2,3,6,At Risk
521,90,20,84,1,2,4,7,Potential Loyalists
522,365,50,41,1,5,2,8,Potential Loyalists
523,90,37,88,1,4,5,10,Loyal Customers
524,90,5,40,1,1,2,4,Low Value / Churn Risk
525,365,44,39,1,5,2,8,Potential Loyalists
526,30,41,37,3,5,2,10,Loyal Customers
527,30,19,52,3,2,3,8,Potential Loyalists
528,90,47,23,1,5,1,7,Potential Loyalists
529,365,40,88,1,4,5,10,Loyal Customers
530,30,6,84,3,1,4,8,Potential Loyalists
531,14,25,37,4,3,2,9,Potential Loyalists
532,7,42,51,5,5,2,12,Loyal Customers
533,90,35,76,1,4,4,9,Potential Loyalists
534,7,17,60,5,2,3,10,Loyal Customers
535,90,4,72,1,1,4,6,At Risk
536,7,24,45,5,3,2,10,Loyal Customers
537,90,16,84,1,2,4,7,Potential Loyalists
538,365,14,49,1,2,2,5,At Risk
539,7,43,22,5,5,1,11,Loyal Customers
540,7,49,48,5,5,2,12,Loyal Customers
541,90,33,37,1,4,2,7,Potential Loyalists
542,14,45,27,4,5,1,10,Loyal Customers
543,14,35,79,4,4,4,12,Loyal Customers
544,30,11,98,3,2,5,10,Loyal Customers
545,90,30,64,1,3,3,7,Potential Loyalists
546,365,48,32,1,5,1,7,Potential Loyalists
547,14,45,74,4,5,4,13,Champions
548,7,26,50,5,3,2,10,Loyal Customers
549,90,41,64,1,5,3,9,Potential Loyalists
550,14,37,29,4,4,1,9,Potential Loyalists
551,7,12,62,5,2,3,10,Loyal Customers
552,14,27,78,4,3,4,11,Loyal Customers
553,7,18,94,5,2,5,12,Loyal Customers
554,90,15,59,1,2,3,6,At Risk
555,7,34,47,5,4,2,11,Loyal Customers
556,365,37,57,1,4,3,8,Potential Loyalists
557,14,21,90,4,3,5,12,Loyal Customers
558,7,31,60,5,4,3,12,Loyal Customers
559,90,43,77,1,5,4,10,Loyal Customers
560,30,22,41,3,3,2,8,Potential Loyalists
561,365,12,48,1,2,2,5,At Risk
562,14,25,65,4,3,3,10,Loyal Customers
563,365,40,62,1,4,3,8,Potential Loyalists
564,90,16,99,1,2,5,8,Potential Loyalists
565,7,30,58,5,3,3,11,Loyal Customers
566,7,10,43,5,1,2,8,Potential Loyalists
567,14,1,93,4,1,5,10,Loyal Customers
568,14,24,50,4,3,2,9,Potential Loyalists
569,30,36,88,3,4,5,12,Loyal Customers
570,90,46,33,1,5,1,7,Potential Loyalists
571,365,20,99,1,2,5,8,Potential Loyalists
572,7,37,76,5,4,4,13,Champions
573,365,26,97,1,3,5,9,Potential Loyalists
574,14,23,68,4,3,3,10,Loyal Customers
575,14,20,79,4,2,4,10,Loyal Customers
576,30,38,86,3,4,5,12,Loyal Customers
577,90,5,68,1,1,3,5,At Risk
578,365,41,52,1,5,3,9,Potential Loyalists
579,14,22,90,4,3,5,12,Loyal Customers
580,365,48,41,1,5,2,8,Potential Loyalists
